time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
124.0,-1.1169028545597857,-0.060467783649827106,-1.1072208619386854,-0.3188018398059144,-0.5151518242266311,0.013540269380691685,962.3148215008274
125.0,-1.117403700991595,-0.06072770036352824,-1.1068888143534497,-0.3194281984243974,-0.5150599173996923,0.0028652211241215093,962.3148215008274
126.0,-1.117850635891874,-0.06099734640249963,-1.106417158368355,-0.3199068346706213,-0.5149043734671725,-0.007570484204149503,962.3148215008274
127.0,-1.118032162980564,-0.061194213176582156,-1.1058804117956202,-0.3202948228068276,-0.5148681847472295,-0.017795328288276582,962.3148215008274
128.0,-1.1179663722669737,-0.06140277493134149,-1.105346236141412,-0.3206532330995345,-0.5145601755754646,-0.027665470181717583,962.3148215008274
129.0,-1.1177247655411482,-0.061642950854233665,-1.1048248445990794,-0.32111331997316345,-0.5138952966430057,-0.03728355700162804,962.3148215008274
130.0,-1.1174287678513621,-0.061894075700244196,-1.1043370269474098,-0.32152576834686863,-0.513263124516605,-0.04649298796176178,962.3148215008274
131.0,-1.1172665635206396,-0.06209370470033245,-1.103804240872245,-0.3219102612370887,-0.5129405139901968,-0.05525872933746803,962.3148215008274
132.0,-1.1173330320455255,-0.06226762184005104,-1.1034475549562093,-0.32232224813194954,-0.5128891671100396,-0.06369230778845986,962.3148215008274
133.0,-1.1175738795094468,-0.06244339536708013,-1.103382378718651,-0.3228648216469179,-0.5128439633520682,-0.07180104820749386,962.3148215008274
134.0,-1.1178692437022868,-0.06257098820886779,-1.1034186342480043,-0.32314317992704716,-0.513090734255767,-0.07967525552030458,962.3148215008274
135.0,-1.1182022189199163,-0.06269074979229147,-1.1034445832849775,-0.3233091327534934,-0.5131357222822546,-0.08730545219370678,962.3148215008274
136.0,-1.1184471428494431,-0.06288229837314509,-1.103469259059353,-0.32352558477793053,-0.5130691072874378,-0.09457285420549288,962.3148215008274
137.0,-1.1185603000596676,-0.06307695786644538,-1.1034307142811948,-0.32391740248412404,-0.5129267191369551,-0.10145395050934053,962.3148215008274
138.0,-1.1185401800440808,-0.06325377136611109,-1.1031794083101947,-0.32465745155917886,-0.5129272608074087,-0.1077661874774894,962.3148215008274
139.0,-1.118440209918774,-0.06332397266943846,-1.1028010555443808,-0.3254297199512114,-0.5129871592712848,-0.11347880957542128,962.3148215008274
140.0,-1.1182421561967004,-0.06349794937836928,-1.1023881838728142,-0.32581661280804936,-0.5133412238974718,-0.11874199159238784,962.3148215008274
141.0,-1.1178777588580417,-0.0636092340552902,-1.102002689300647,-0.32598904659395367,-0.5135802764074925,-0.12369851586424956,962.3148215008274
142.0,-1.1174253492537336,-0.06378960158618073,-1.1017018413684878,-0.32634012118121547,-0.5136230787334946,-0.12832545563386977,962.3148215008274
